State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,Smith Generating Facility,54,SCT4,,2023,1170,1012.75,55297.85,,0.237,0.001,46706.852,0.059,11.269,0.0364,785846.272,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT4,,2024,927,798.33,45299.01,,0.23,0.0012,38050.438,0.0594,10.406,0.0417,637959.55,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT4,,2025,1524,1354.12,83074.2,,0.361,0.0011,67622.461,0.0592,18.202,0.0381,1136739.934,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT4,,2026,824,746.25,47593.76,,0.191,0.001,37674.048,0.0591,8.298,0.0323,633865.911,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT5,,2022,1312,1161.06,68814.71,,0.495,0.0014,54241.485,0.0595,13.399,0.0358,905002.666,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT5,,2023,1139,990.35,53539.85,,0.221,0.001,43217.634,0.0591,10.441,0.036,727128.313,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT5,,2024,1010,865.45,48650.91,,0.202,0.0011,38880.97,0.0591,10.615,0.041,653939.798,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT5,,2025,1484,1323.7,73875.68,,0.314,0.0011,59247.528,0.0592,13.941,0.0345,996063.807,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT5,,2026,799,729.84,47014.12,,0.181,0.0011,34935.346,0.0591,8.897,0.0353,587639.623,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT6,,2022,1330,1175.86,70440.36,,0.499,0.0014,55705.603,0.0595,15.489,0.0403,929697.17,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
